id,description
T-10/89,"Hoechst / Commission (T-10/89) , see Case  T-1/89"
T-10/89,"Judgment of 10 March 1992, Hoechst / Commission (T-10/89, ECR 1992 p. II-629) ECLI:EU:T:1992:32APPEAL :  C-227/92"
T-11/89,"Shell / Commission (T-11/89) , see Case  T-1/89"
T-11/89,"Judgment of 10 March 1992, Shell / Commission (T-11/89, ECR 1992 p. II-757)          (SVXII/II-47 FIXII/II-49) ECLI:EU:T:1992:33APPEAL :  C-234/92"
T-12/89,"Solvay / Commission (T-12/89) , see Case  T-1/89"
T-12/89,"Judgment of 10 March 1992, Solvay / Commission (T-12/89, ECR 1992 p. II-907) ECLI:EU:T:1992:34"
T-13/89,"ICI / Commission (T-13/89) , see Case  T-1/89"
T-13/89,"Judgment of 10 March 1992, ICI / Commission (T-13/89, ECR 1992 p. II-1021)          (SVXII/II-183 FIXII/II-175) ECLI:EU:T:1992:35APPEAL :  C-200/92"
T-14/89,"Montedipe / Commission (T-14/89) , see Case  T-1/89"
T-14/89,"Judgment of 10 March 1992, Montedipe / Commission (T-14/89, ECR 1992 p. II-1155) ECLI:EU:T:1992:36APPEAL :  C-235/92"
T-14/89 REV.,"Order of 4 November 1992, Montedipe / Commission (T-14/89 REV., ECR 1992 p. II-2409) ECLI:EU:T:1992:108"
T-15/89,"Chemie Linz / Commission (T-15/89) , see Case  T-1/89"
T-15/89,"Judgment of 10 March 1992, Chemie Linz / Commission (T-15/89, ECR 1992 p. II-1275) ECLI:EU:T:1992:37APPEAL :  C-245/92"
T-16/89,"Judgment of 26 February 1992, Herkenrath and others / Commission (T-16/89, ECR 1992 p. II-275) ECLI:EU:T:1992:24"
T-17/89,"Judgment of 26 February 1992, Brazzelli and others / Commission (T-17/89, T-21/89 and T-25/89, ECR 1992 p. II-293) ECLI:EU:T:1992:25APPEAL :  C-136/92"
T-17/89,"Removed from the register on 23 November 1994, Brazzelli and others / Commission (T-17/89, T-21/89 and T-25/89) ECLI:EU:T:1994:271"
T-18/89,"Judgment of 7 February 1991, Tagaras / Court of Justice (T-18/89 and T-24/89, ECR 1991 p. II-53) ECLI:EU:T:1991:8"
T-18/89,"Order of 25 February 1992, Tagaras / Court of Justice (T-18/89 and T-24/89, ECR 1992 p. II-153) ECLI:EU:T:1992:17"
T-19/89,"Removed from the register on 13 February 1990, Nowak / Commission (T-19/89) ECLI:EU:T:1990:12"
T-20/89,"Judgment of 13 December 1990, Moritz / Commission (T-20/89, ECR 1990 p. II-769) ECLI:EU:T:1990:80APPEAL :  C-68/91"
T-20/89 RV,"Judgment of 16 December 1993, Moritz / Commission (T-20/89 RV, ECR 1993 p. II-1423) ECLI:EU:T:1993:117"
T-21/89,"Bertolo / Commission (T-21/89) , see Case  T-17/89"
T-22/89,"Removed from the register on 23 January 1990, Nonon / Commission (T-22/89) ECLI:EU:T:1990:6"
T-23/89,"Removed from the register on 21 March 1990, Actis-Dato / Commission (T-23/89) ECLI:EU:T:1990:22"
T-24/89,"Tagaras / Court of Justice (T-24/89) , see Case  T-18/89"
T-25/89,"Alex / Commission (T-25/89) , see Case  T-17/89"
T-26/89,"Judgment of 17 October 1991, de Compte / Parliament (T-26/89, ECR 1991 p. II-781) ECLI:EU:T:1991:54APPEAL :  C-326/91"
T-26/89 (125),"Judgment of 5 November 1997, de Compte / Parliament (T-26/89 (125), ECR-SC 1997 p. I-A-305, II-313) ECLI:EU:T:1997:164APPEAL :  C-2/98"
T-27/89,"Judgment of 22 June 1990, Sklias / Court of Justice (T-27/89, ECR 1990 p. II-269) ECLI:EU:T:1990:38"
T-28/89,"Judgment of 8 March 1990, Maindiaux and others / ESC (T-28/89, ECR 1990 p. II-59) ECLI:EU:T:1990:18"
T-29/89,"Judgment of 13 December 1990, Moritz / Commission (T-29/89, ECR 1990 p. II-787) ECLI:EU:T:1990:81"
T-30/89,"Order of 4 April 1990, Hilti / Commission (T-30/89, ECR 1990 p. II-163, Pub.ext.) ECLI:EU:T:1990:27"
T-30/89,"Judgment of 12 December 1991, Hilti / Commission (T-30/89, ECR 1991 p. II-1439) ECLI:EU:T:1991:70APPEAL :  C-53/92"
T-31/89,"Judgment of 21 June 1990, Sabbatucci / Parliament (T-31/89, ECR 1990 p. II-265, Summ.pub.) ECLI:EU:T:1990:37"
T-32/89,"Judgment of 22 June 1990, Marcopoulos / Court of Justice (T-32/89 and T-39/89, ECR 1990 p. II-281) ECLI:EU:T:1990:39"
T-33/89,"Judgment of 16 March 1993, Blackman / Parliament (T-33/89 and T-74/89, ECR 1993 p. II-249) ECLI:EU:T:1993:21"
T-33/89 DÃ©pens,"Order of 15 July 1993, Blackman / Parliament (T-33/89 and T-74/89, ECR 1993 p. II-837) ECLI:EU:T:1993:68"
T-34/89,"Judgment of 13 March 1990, Costacurta / Commission (T-34/89 and T-67/89, ECR 1990 p. II-93) ECLI:EU:T:1990:20APPEAL :  C-145/90"
T-35/89,"Judgment of 12 July 1990, Albani / Commission (T-35/89, ECR 1990 p. II-395) ECLI:EU:T:1990:44APPEAL :  C-242/90"
T-35/89 TO1,"Order of 26 March 1992, Ascasibar Zubizarreta and others / Albani and others (T-35/89 TO1, ECR 1992 p. II-1599) ECLI:EU:T:1992:47"
T-36/89,"Judgment of 25 September 1991, Nijmann / Commission (T-36/89, ECR 1991 p. II-699) ECLI:EU:T:1991:48"
T-37/89,"Judgment of 20 September 1990, Hanning / Parliament (T-37/89, ECR 1990 p. II-463) ECLI:EU:T:1990:49APPEAL :  C-345/90"
T-38/89,"Judgment of 14 February 1990, Hochbaum / Commission (T-38/89, ECR 1990 p. II-43) ECLI:EU:T:1990:14APPEAL :  C-107/90"
T-39/89,"Marcopoulos / Court of Justice (T-39/89) , see Case  T-32/89"
T-40/89,"Judgment of 22 February 1990, Turner / Commission (T-40/89, ECR 1990 p. II-55, Summ.pub.) ECLI:EU:T:1990:16APPEAL :  C-115/90"
T-41/89,"Judgment of 8 March 1990, Schwedler / Parliament (T-41/89, ECR 1990 p. II-79) ECLI:EU:T:1990:19APPEAL :  C-132/90"
T-42/89,"Judgment of 30 January 1990, Yorck von Wartenburg / Parliament (T-42/89, ECR 1990 p. II-31) ECLI:EU:T:1990:9"
T-42/89 OPPO,"Judgment of 4 July 1990, Parliament / Yorck von Wartenburg (T-42/89 OPPO, ECR 1990 p. II-299) ECLI:EU:T:1990:40"
T-43/89,"Judgment of 6 April 1990, Gill / Commission (T-43/89, ECR 1990 p. II-173) ECLI:EU:T:1990:28APPEAL :  C-185/90"
T-43/89 RV,"Judgment of 23 March 1993, Gill / Commission (T-43/89 RV, ECR 1993 p. II-303) ECLI:EU:T:1993:24"
T-44/89,"Judgment of 6 June 1990, Gouvras-Laycock / Commission (T-44/89, ECR 1990 p. II-217) ECLI:EU:T:1990:33"
T-45/89,"Removed from the register on 5 March 1991, EISA / Commission (T-45/89) ECLI:EU:T:1991:13"
T-46/89,"Judgment of 23 October 1990, Pitrone / Commission (T-46/89, ECR 1990 p. II-577) ECLI:EU:T:1990:62APPEAL :  C-378/90"
T-47/89,"Judgment of 20 June 1990, Marcato / Commission (T-47/89 and T-82/89, ECR 1990 p. II-231) ECLI:EU:T:1990:35"
T-48/89,"Judgment of 26 September 1990, Beltrante and others / Council (T-48/89, ECR 1990 p. II-493) ECLI:EU:T:1990:50"
T-49/89,"Judgment of 26 September 1990, Mavrakos / Council (T-49/89, ECR 1990 p. II-509, Summ.pub.) ECLI:EU:T:1990:51"
T-50/89,"Judgment of 22 May 1990, Sparr / Commission (T-50/89, ECR 1990 p. II-207) ECLI:EU:T:1990:32"
T-50/89,"Order of 11 October 1990, Sparr / Commission (T-50/89, ECR 1990 p. II-539) ECLI:EU:T:1990:57"
T-51/89,"Judgment of 10 July 1990, Tetra Pak / Commission (T-51/89, ECR 1990 p. II-309) ECLI:EU:T:1990:41"
T-52/89,"Judgment of 26 September 1990, Piemonte / Council (T-52/89, ECR 1990 p. II-513, Summ.pub.) ECLI:EU:T:1990:52"
T-53/89,"Removed from the register on 15 January 1991, Strack / Commission (T-53/89 and T-164/89) ECLI:EU:T:1991:1"
T-54/89,"Judgment of 22 November 1990, V. / Parliament (T-54/89, ECR 1990 p. II-659) ECLI:EU:T:1990:71APPEAL :  C-18/91"
T-55/89,"Order of 9 February 1990, Solomon & Peres / Commission (T-55/89, unpublished) ECLI:EU:T:1990:10"
T-56/89,"Judgment of 8 November 1990, Bataille and others / Parliament (T-56/89, ECR 1990 p. II-597) ECLI:EU:T:1990:64"
T-57/89,"Judgment of 29 March 1990, Alexandrakis / Commission (T-57/89, ECR 1990 p. II-143) ECLI:EU:T:1990:25"
T-58/89,"Judgment of 7 February 1991, Williams / Court of Auditors (T-58/89, ECR 1991 p. II-77) ECLI:EU:T:1991:9"
T-59/89,"Order of 29 January 1990, Yorck von Wartenburg / Parliament (T-59/89, ECR 1990 p. II-25) ECLI:EU:T:1990:8"
T-60/89,"Removed from the register on 6 July 1992, van Gerwen / Commission (T-60/89 and T-126/89) ECLI:EU:T:1992:82"
T-61/89,"Judgment of 2 July 1992, Dansk Pelsdyravlerforening / Commission (T-61/89, ECR 1992 p. II-1931)          (SVXIII/II-1 FIXIII/II-1) ECLI:EU:T:1992:79"
T-62/89,"Judgment of 27 March 1990, Pinto Teixeira / Commission (T-62/89, ECR 1990 p. II-121) ECLI:EU:T:1990:23"
T-63/89,"Judgment of 24 January 1991, Latham / Commission (T-63/89, ECR 1991 p. II-19) ECLI:EU:T:1991:4"
T-64/89,"Judgment of 10 July 1990, Automec / Commission (T-64/89, ECR 1990 p. II-367) ECLI:EU:T:1990:42"
T-65/89,"Judgment of 1 April 1993, BPB Industries and British Gypsum / Commission (T-65/89, ECR 1993 p. II-389)          (SVXIV/II-1 FIXIV/II-1) ECLI:EU:T:1993:31APPEAL :  C-310/93"
T-66/89,"Judgment of 9 July 1992, Publishers Association / Commission (T-66/89, ECR 1992 p. II-1995) ECLI:EU:T:1992:84APPEAL :  C-360/92"
T-67/89,"Costacurta / Commission (T-67/89) , see Case  T-34/89"
T-68/89,"Judgment of 10 March 1992, SIV and others / Commission (T-68/89, T-77/89 and T-78/89, ECR 1992 p. II-1403)          (SVXII/II-303 FIXII/II-287) ECLI:EU:T:1992:38"
T-69/89,"Judgment of 10 July 1991, RTE / Commission (T-69/89, ECR 1991 p. II-485) ECLI:EU:T:1991:39APPEAL :  C-241/91"
T-70/89,"Judgment of 10 July 1991, BBC / Commission (T-70/89, ECR 1991 p. II-535) ECLI:EU:T:1991:40"
T-71/89,"Judgment of 13 March 1990, Dautremont and others / Parliament (T-71/89, ECR 1990 p. II-111) ECLI:EU:T:1990:21"
T-72/89,"Judgment of 22 February 1990, Bocos Viciano / Commission (T-72/89, ECR 1990 p. II-57, Summ.pub.) ECLI:EU:T:1990:17APPEAL :  C-126/90"
T-73/89,"Judgment of 8 November 1990, Barbi / Commission (T-73/89, ECR 1990 p. II-619) ECLI:EU:T:1990:65"
T-74/89,"Blackman / Parliament (T-74/89) , see Case  T-33/89"
T-74/89 DÃ©pens,"Blackman / Parliament (T-74/89 DÃ©pens) , see Case  T-33/89 DÃ©pens"
T-75/89,"Judgment of 14 December 1990, Brems / Council (T-75/89, ECR 1990 p. II-899) ECLI:EU:T:1990:88APPEAL :  C-70/91"
T-76/89,"Judgment of 10 July 1991, ITP / Commission (T-76/89, ECR 1991 p. II-575) ECLI:EU:T:1991:41APPEAL :  C-242/91"
T-77/89,"Fabbrica Pisana / Commission (T-77/89) , see Case  T-68/89"
T-78/89,"PPG - Vernante Pennitalia / Commission (T-78/89) , see Case  T-68/89"
T-78/89 - DEPE,"Order of 9 June 1993, PPG Industries Glass / Commission (T-78/89 - DEPE, ECR 1993 p. II-573) ECLI:EU:T:1993:45"
T-79/89,"Judgment of 27 February 1992, BASF and others / Commission (T-79/89, T-84/89, T-85/89, T-86/89, T-89/89, T-91/89, T-92/89, T-94/89, T-96/89, T-98/89, T-102/89 and T-104/89, ECR 1992 p. II-315)          (SVXII/II-1 FIXII/II-1) ECLI:EU:T:1992:26APPEAL :  C-137/92"
T-80/89,"Judgment of 6 April 1995, BASF and others / Commission (T-80/89, T-81/89, T-83/89, T-87/89, T-88/89, T-90/89, T-93/89, T-95/89, T-97/89, T-99/89, T-100/89, T-101/89, T-103/89, T-105/89, T-107/89 and T-112/89., ECR 1995 p. II-729) ECLI:EU:T:1995:61"
T-81/89,"Monsanto / Commission (T-81/89) , see Case  T-80/89"
T-82/89,"Judgment of 5 December 1990, Marcato / Commission (T-82/89, ECR 1990 p. II-735) ECLI:EU:T:1990:77"
T-82/89,"Marcato / Commission (T-82/89) , see Case  T-47/89"
T-83/89,"DSM / Commission (T-83/89) , see Case  T-80/89"
T-84/89,"LVM / Commission (T-84/89) , see Case  T-79/89"
T-85/89,"DSM / Commission (T-85/89) , see Case  T-79/89"
T-86/89,"HÃ¼ls / Commission (T-86/89) , see Case  T-79/89"
T-87/89,"Orkem / Commission (T-87/89) , see Case  T-80/89"
T-88/89,"Bayer / Commission (T-88/89) , see Case  T-80/89"
T-89/89,"Atochem / Commission (T-89/89) , see Case  T-79/89"
T-90/89,"Atochem / Commission (T-90/89) , see Case  T-80/89"
T-91/89,"SociÃ©tÃ© ArtÃ©sienne de Vinyle / Commission (T-91/89) , see Case  T-79/89"
T-92/89,"Wacker Chemie / Commission (T-92/89) , see Case  T-79/89"
T-93/89,"Statoil / Commission (T-93/89) , see Case  T-80/89"
T-94/89,"Enichem / Commission (T-94/89) , see Case  T-79/89"
T-95/89,"Enichem / Commission (T-95/89) , see Case  T-80/89"
T-96/89,"Hoechst / Commission (T-96/89) , see Case  T-79/89"
T-97/89,"Hoechst / Commission (T-97/89) , see Case  T-80/89"
T-98/89,"ICI / Commission (T-98/89) , see Case  T-79/89"
T-99/89,"ICI / Commission (T-99/89) , see Case  T-80/89"
T-100/89,"Neste Oy / Commission (T-100/89) , see Case  T-80/89"
T-101/89,"Repsol Quimica / Commission (T-101/89) , see Case  T-80/89"
T-102/89,"Shell / Commission (T-102/89) , see Case  T-79/89"
T-103/89,"Shell / Commission (T-103/89) , see Case  T-80/89"
T-104/89,"Montedison / Commission (T-104/89) , see Case  T-79/89"
T-105/89,"Montedison / Commission (T-105/89) , see Case  T-80/89"
T-106/89 REV,"Order of 1 July 1994, Norsk Hydro / Commission (T-106/89 REV, ECR 1994 p. II-419) ECLI:EU:T:1994:75"
T-107/89,"Chemie Holding / Commission (T-107/89) , see Case  T-80/89"
T-108/89,"Judgment of 12 July 1990, Scheuer / Commission (T-108/89, ECR 1990 p. II-411) ECLI:EU:T:1990:45"
T-109/89,"Judgment of 20 March 1991, AndrÃ© / Commission (T-109/89, ECR 1991 p. II-139, Summ.pub.) ECLI:EU:T:1991:16"
T-110/89,"Judgment of 12 July 1991, Pincherle / Commission (T-110/89, ECR 1991 p. II-635) ECLI:EU:T:1991:44APPEAL :  C-244/91"
T-111/89,"Judgment of 12 July 1990, Scheiber / Council (T-111/89, ECR 1990 p. II-429) ECLI:EU:T:1990:46"
T-112/89,"Dow Chemical / Commission (T-112/89) , see Case  T-80/89"
T-113/89,"Judgment of 13 December 1990, Nefarma and others / Commission (T-113/89, ECR 1990 p. II-797) ECLI:EU:T:1990:82"
T-114/89,"Judgment of 13 December 1990, VNZ and others / Commission (T-114/89, ECR 1990 p. II-827, Summ.pub.) ECLI:EU:T:1990:83"
T-115/89,"Judgment of 13 December 1990, GonzÃ¡lez Holguera / Parliament (T-115/89, ECR 1990 p. II-831, Pub.ext.) ECLI:EU:T:1990:84"
T-116/89,"Judgment of 13 December 1990, Prodifarma and others / Commission (T-116/89, ECR 1990 p. II-843) ECLI:EU:T:1990:85"
T-117/89,"Judgment of 10 May 1990, Sens / Commission (T-117/89, ECR 1990 p. II-185) ECLI:EU:T:1990:30"
T-118/89,"Removed from the register on 17 January 1990, Hedeman / Commission (T-118/89) ECLI:EU:T:1990:2"
T-119/89,"Order of 14 December 1989, TeissonniÃ¨re / Commission (T-119/89, ECR 1990 p. II-7) ECLI:EU:T:1989:7"
T-120/89,"Judgment of 27 June 1991, Stahlwerke Peine-Salzgitter / Commission (T-120/89, ECR 1991 p. II-279) ECLI:EU:T:1991:32APPEAL :  C-220/91"
T-120/89 (92),"Order of 8 November 1996, Stahlwerke Peine-Salzgitter / Commission (T-120/89 (92), ECR 1996 p. II-1547) ECLI:EU:T:1996:161"
T-121/89,"Judgment of 18 September 1992, X / Commission (T-121/89 and T-13/90, ECR 1992 p. II-2195) ECLI:EU:T:1992:96APPEAL :  C-404/92"
T-122/89,"Judgment of 26 September 1990, F / Commission (T-122/89, ECR 1990 p. II-517) ECLI:EU:T:1990:53APPEAL :  C-346/90"
T-123/89,"Judgment of 27 March 1990, Chomel / Commission (T-123/89, ECR 1990 p. II-131) ECLI:EU:T:1990:24"
T-124/89,"Judgment of 28 February 1991, Kormeier / Commission (T-124/89, ECR 1991 p. II-125) ECLI:EU:T:1991:12"
T-125/89,"Judgment of 10 July 1990, Filtrona EspaÃ±ola / Commission (T-125/89, ECR 1990 p. II-393, Summ.pub.) ECLI:EU:T:1990:43"
T-126/89,"van Gerwen / Commission (T-126/89) , see Case  T-60/89"
T-127/89,"Removed from the register on 2 May 1990, Henrichs / Commission (T-127/89) ECLI:EU:T:1990:29"
T-128/89,"Judgment of 16 October 1990, Brumter / Council (T-128/89, ECR 1990 p. II-545, Summ.pub.) ECLI:EU:T:1990:59"
T-129/89,"Judgment of 17 October 1991, Offermann / Parliament (T-129/89, ECR 1991 p. II-855) ECLI:EU:T:1991:55"
T-130/89,"Judgment of 6 December 1990, B / Commission (T-130/89, ECR 1990 p. II-761, Summ.pub.) ECLI:EU:T:1990:78"
T-131/89 R,"Order of 6 December 1989, Cosimex / Commission (T-131/89 R, ECR 1990 p. II-1) ECLI:EU:T:1989:2"
T-131/89,"Removed from the register on 13 November 1990, Cosimex / Commission (T-131/89) ECLI:EU:T:1990:67"
T-132/89,"Judgment of 16 October 1990, Gallone / Council (T-132/89, ECR 1990 p. II-549) ECLI:EU:T:1990:60"
T-133/89,"Judgment of 20 June 1990, Burban / Parliament (T-133/89, ECR 1990 p. II-245) ECLI:EU:T:1990:36APPEAL :  C-255/90"
T-134/89,"Judgment of 17 October 1990, Hettrich and others / Commission (T-134/89, ECR 1990 p. II-565) ECLI:EU:T:1990:61APPEAL :  C-368/90"
T-135/89,"Judgment of 3 April 1990, Pfloeschner / Commission (T-135/89, ECR 1990 p. II-153) ECLI:EU:T:1990:26"
T-136/89,"Removed from the register on 17 January 1990, Tarabugi / Commission (T-136/89) ECLI:EU:T:1990:3"
T-137/89,"Removed from the register on 16 January 1990, Remusat / Commission (T-137/89) ECLI:EU:T:1990:1"
T-138/89,"Judgment of 17 September 1992, NBV and NVB / Commission (T-138/89, ECR 1992 p. II-2181) ECLI:EU:T:1992:95"
T-139/89,"Judgment of 26 September 1990, Virgili-Schettini / Parliament (T-139/89, ECR 1990 p. II-535, Summ.pub.) ECLI:EU:T:1990:54APPEAL :  C-348/90"
T-140/89,"Judgment of 27 November 1990, Della Pietra / Commission (T-140/89, ECR 1990 p. II-717, Pub.ext.) ECLI:EU:T:1990:75"
T-141/89,"Judgment of 6 April 1995, Trefileurope / Commission (T-141/89, ECR 1995 p. II-791) ECLI:EU:T:1995:62"
T-142/89,"Judgment of 6 April 1995, BoÃ«l / Commission (T-142/89, ECR 1995 p. II-867) ECLI:EU:T:1995:63"
T-143/89,"Judgment of 6 April 1995, Ferriere Nord / Commission (T-143/89, ECR 1995 p. II-917) ECLI:EU:T:1995:64APPEAL :  C-219/95"
T-144/89,"Judgment of 6 April 1995, Cockerill Sambre / Commission (T-144/89, ECR 1995 p. II-947) ECLI:EU:T:1995:65"
T-145/89,"Judgment of 6 April 1995, Baustahlgewebe / Commission (T-145/89, ECR 1995 p. II-987) ECLI:EU:T:1995:66APPEAL :  C-185/95"
T-146/89,"Judgment of 26 November 1991, Williams / Court of Auditors (T-146/89, ECR 1991 p. II-1293) ECLI:EU:T:1991:61"
T-147/89,"Judgment of 6 April 1995, SociÃ©tÃ© mÃ©tallurgique de Normandie / Commission (T-147/89, ECR 1995 p. II-1057, Summ.pub.) ECLI:EU:T:1995:67"
T-148/89,"Judgment of 6 April 1995, Trefilunion / Commission (T-148/89, ECR 1995 p. II-1063) ECLI:EU:T:1995:68"
T-149/89,"Judgment of 6 April 1995, Sotralentz / Commission (T-149/89, ECR 1995 p. II-1127) ECLI:EU:T:1995:69"
T-150/89,"Judgment of 6 April 1995, Martinelli / Commission (T-150/89, ECR 1995 p. II-1165) ECLI:EU:T:1995:70"
T-151/89,"Judgment of 6 April 1995, SociÃ©tÃ© des treillis et panneaux soudÃ©s / Commission (T-151/89, ECR 1995 p. II-1191, Summ.pub.) ECLI:EU:T:1995:71"
T-152/89,"Judgment of 6 April 1995, ILRO / Commission (T-152/89, ECR 1995 p. II-1197) ECLI:EU:T:1995:72"
T-153/89,"Removed from the register on 11 October 1990, Martin / Commission (T-153/89) ECLI:EU:T:1990:58"
T-154/89,"Judgment of 12 July 1990, VidrÃ¡nyi / Commission (T-154/89, ECR 1990 p. II-445) ECLI:EU:T:1990:47APPEAL :  C-283/90"
T-155/89 R,"Order of 15 December 1989, Buccarello and others / Parliament (T-155/89 R, ECR 1990 p. II-19) ECLI:EU:T:1989:8"
T-155/89,"Judgment of 8 November 1990, Buccarello and others / Parliament (T-155/89, ECR 1990 p. II-635, Summ.pub.) ECLI:EU:T:1990:66"
T-156/89,"Judgment of 27 June 1991, Valverde Mordt / Court of Justice (T-156/89, ECR 1991 p. II-407) ECLI:EU:T:1991:33"
T-157/89,"Removed from the register on 5 May 1993, Nefico / Commission (T-157/89 and T-168/89) ECLI:EU:T:1993:40"
T-158/89,"Judgment of 28 November 1991, Van Hecken / ESC (T-158/89, ECR 1991 p. II-1341) ECLI:EU:T:1991:63"
T-159/89,"Removed from the register on 17 January 1990, Coussios / Commission (T-159/89) ECLI:EU:T:1990:4"
T-160/89,"Judgment of 13 December 1990, Kalavros / Court of Justice (T-160/89 and T-161/89, ECR 1990 p. II-871) ECLI:EU:T:1990:86APPEAL :  C-46/91"
T-161/89,"Kalavros / Court of Justice (T-161/89) , see Case  T-160/89"
T-162/89,"Judgment of 22 November 1990, Mommer / Parliament (T-162/89, ECR 1990 p. II-679) ECLI:EU:T:1990:72"
T-163/89,"Judgment of 25 September 1991, Sebastiani / Parliament (T-163/89, ECR 1991 p. II-715) ECLI:EU:T:1991:49APPEAL :  C-294/91"
T-164/89,"Strack / Commission (T-164/89) , see Case  T-53/89"
T-165/89,"Judgment of 27 February 1992, Plug / Commission (T-165/89, ECR 1992 p. II-367) ECLI:EU:T:1992:27"
T-166/89,"Removed from the register on 12 July 1990, Hoffmann / Commission (T-166/89) ECLI:EU:T:1990:48"
T-167/89,"Judgment of 7 February 1991, De Rijk / Commission (T-167/89, ECR 1991 p. II-91) ECLI:EU:T:1991:10"
T-168/89,"MGM / Commission (T-168/89) , see Case  T-157/89"
T-169/89,"Judgment of 11 December 1991, Frederiksen / Parliament (T-169/89, ECR 1991 p. II-1403) ECLI:EU:T:1991:69APPEAL :  C-35/92"
T-1/90,"Judgment of 20 March 1991, PÃ©rez-MÃ­nguez Casariego / Commission (T-1/90, ECR 1991 p. II-143) ECLI:EU:T:1991:17"
T-2/90,"Judgment of 7 February 1991, Ferreira de Freitas / Commission (T-2/90, ECR 1991 p. II-103) ECLI:EU:T:1991:11"
T-3/90,"Order of 23 January 1991, Prodifarma / Commission (T-3/90, ECR 1991 p. II-1) ECLI:EU:T:1991:2"
T-4/90,"Judgment of 22 November 1990, Lestelle / Commission (T-4/90, ECR 1990 p. II-689) ECLI:EU:T:1990:73APPEAL :  C-30/91"
T-5/90,"Judgment of 25 September 1991, Marcato / Commission (T-5/90, ECR 1991 p. II-731) ECLI:EU:T:1991:50"
T-6/90,"Judgment of 6 December 1990, Petrilli / Commission (T-6/90, ECR 1990 p. II-765, Summ.pub.) ECLI:EU:T:1990:79"
T-7/90,"Judgment of 27 November 1990, Kobor / Commission (T-7/90, ECR 1990 p. II-721) ECLI:EU:T:1990:76"
T-8/90,"Judgment of 28 February 1992, Colmant / Commission (T-8/90, ECR 1992 p. II-469) ECLI:EU:T:1992:29"
T-9/90,"Removed from the register on 5 November 1990, van der Stijl / Commission (T-9/90) ECLI:EU:T:1990:63"
T-10/90,"Judgment of 3 December 1991, Boessen / ESC (T-10/90 and T-31/90, ECR 1991 p. II-1365) ECLI:EU:T:1991:66"
T-11/90,"Order of 24 June 1992, H.S. / Council (T-11/90, ECR 1992 p. II-1869) ECLI:EU:T:1992:73"
T-12/90,"Judgment of 29 May 1991, Bayer / Commission (T-12/90, ECR 1991 p. II-219) ECLI:EU:T:1991:25APPEAL :  C-195/91"
T-13/90,"X / Commission (T-13/90) , see Case  T-121/89"
T-14/90,"Removed from the register on 26 September 1990, Tahir / Commission (T-14/90) ECLI:EU:T:1990:55"
T-15/90,"Removed from the register on 5 October 1990, Gritzmann Martignoni / Commission (T-15/90) ECLI:EU:T:1990:56"
T-16/90,"Judgment of 11 February 1992, Panagiotopoulou / Parliament (T-16/90, ECR 1992 p. II-89) ECLI:EU:T:1992:11"
T-17/90,"Judgment of 15 July 1993, Camara Alloisio and others / Commission (T-17/90, T-28/91 and T-17/92, ECR 1993 p. II-841) ECLI:EU:T:1993:69"
